sentence_id	sentence_text	token_id	token	annotator_1	annotator_2	resolved_label	reviewer_note
72	menjelang haid payudara tidak lagi terasa nyeri dan siklus haid menjadi tidak teratur	4	tidak	O	B-GEJALA	O	
72	menjelang haid payudara tidak lagi terasa nyeri dan siklus haid menjadi tidak teratur	5	lagi	O	I-GEJALA	O	
72	menjelang haid payudara tidak lagi terasa nyeri dan siklus haid menjadi tidak teratur	11	menjadi	O	I-GEJALA	O	
72	menjelang haid payudara tidak lagi terasa nyeri dan siklus haid menjadi tidak teratur	12	tidak	O	I-GEJALA	B-GEJALA	
72	menjelang haid payudara tidak lagi terasa nyeri dan siklus haid menjadi tidak teratur	13	teratur	O	I-GEJALA	I-GEJALA	
75	obat yang bagus untuk mengatasi bronkitis yang kambuh kembali	8	kambuh	O	B-GEJALA	O	
75	obat yang bagus untuk mengatasi bronkitis yang kambuh kembali	9	kembali	O	I-GEJALA	O	
76	penyebab muncul bintik merah pada wajah setelah bangun tidur	2	muncul	B-GEJALA	O	O	
76	penyebab muncul bintik merah pada wajah setelah bangun tidur	3	bintik	I-GEJALA	B-GEJALA	B-GEJALA	
77	timbulnya ruam kulit berbentuk bentol atau bintik merah	3	kulit	I-GEJALA	B-ANATOMI	B-ANATOMI	
79	fungsi obat imunosupresan	3	imunosupresan	B-OBAT	I-OBAT	I-OBAT	
80	salep untuk menghilangkan bekas gatal yang menghitam di bokong	4	bekas	O	B-GEJALA	O	
80	salep untuk menghilangkan bekas gatal yang menghitam di bokong	5	gatal	B-GEJALA	I-GEJALA	B-GEJALA	
82	apakah bisa langsung melakukan test pack saat haid terlambat	8	haid	B-GEJALA	O	B-GEJALA	
82	apakah bisa langsung melakukan test pack saat haid terlambat	9	terlambat	I-GEJALA	B-GEJALA	I-GEJALA	
89	muka yang memerah di bagian dahi pipi kiri mata dan hidung setelah memakai obat jerawat	15	jerawat	B-DIAGNOSIS	I-OBAT	I-OBAT	
91	perbedaan usia kehamilan berdasarkan usg dan hpht	3	kehamilan	B-DIAGNOSIS	O	B-DIAGNOSIS	
92	apakah normal haid selama hari setelah nifas bulan	3	haid	B-GEJALA	O	O	
93	batuk pada malam hari disertai dahak berwarna putih dan hidung berair	10	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
93	batuk pada malam hari disertai dahak berwarna putih dan hidung berair	11	berair	I-GEJALA	B-GEJALA	B-GEJALA	
96	cara mengatasi alergi udara kotor agar tidak kambuh lagi	8	kambuh	O	B-GEJALA	O	
98	penyebab vagina keluar darah disertai mual pusing dan sakit perut	10	perut	I-GEJALA	B-ANATOMI	B-ANATOMI	
101	efek samping sering minum obat cetirizine saat alergi makan daging	3	sering	B-GEJALA	O	O	
104	telat menstruasi bulan disertai sakit pinggang dan perut bawah	6	pinggang	I-GEJALA	B-ANATOMI	B-ANATOMI	
108	hasil ovutest positif saat hari terakhir siklus haid	7	siklus	B-GEJALA	O	O	
108	hasil ovutest positif saat hari terakhir siklus haid	8	haid	I-GEJALA	O	O	
110	keamanan sering konsumsi asam mefenamat saat haid	2	sering	B-GEJALA	O	O	
112	bintik berair pada kulit dan terasa gatal	6	terasa	B-GEJALA	O	O	
112	bintik berair pada kulit dan terasa gatal	7	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
113	gatal disertai bentol berisi air di area bibir	4	berisi	O	I-GEJALA	I-GEJALA	
113	gatal disertai bentol berisi air di area bibir	5	air	O	I-GEJALA	I-GEJALA	
114	penyebab hidung berwarna merah sudah tahun tetapi sedang tidak flu	2	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
114	penyebab hidung berwarna merah sudah tahun tetapi sedang tidak flu	3	berwarna	I-GEJALA	B-GEJALA	B-GEJALA	
115	salep penghilang bekas luka bisul yang menghitam	3	bekas	O	B-GEJALA	O	
115	salep penghilang bekas luka bisul yang menghitam	4	luka	B-GEJALA	I-GEJALA	B-GEJALA	
115	salep penghilang bekas luka bisul yang menghitam	5	bisul	B-DIAGNOSIS	I-GEJALA	B-DIAGNOSIS	
116	obat sakit gigi yang aman untuk ibu hamil	3	gigi	I-GEJALA	B-ANATOMI	B-ANATOMI	
116	obat sakit gigi yang aman untuk ibu hamil	8	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
122	obat untuk mengatasi sakit gigi karena panas dalam	5	gigi	I-GEJALA	B-ANATOMI	B-ANATOMI	
122	obat untuk mengatasi sakit gigi karena panas dalam	7	panas	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
122	obat untuk mengatasi sakit gigi karena panas dalam	8	dalam	O	I-DIAGNOSIS	I-DIAGNOSIS	
123	kulit wajah merah panas dan perih setelah menggunakan krim untuk flek	11	flek	B-OBAT	B-DIAGNOSIS	B-DIAGNOSIS	
127	kaitan memasukkan jari ke vagina dengan telat menstruasi pada remaja	3	jari	O	B-ANATOMI	B-ANATOMI	
130	alergi produk kulit	2	produk	B-OBAT	O	B-OBAT	
130	alergi produk kulit	3	kulit	I-OBAT	B-ANATOMI	I-OBAT	
131	apakah kemerahan yang hilang timbul di pipi bayi usia bulan dapat hilang	4	hilang	O	B-GEJALA	O	
131	apakah kemerahan yang hilang timbul di pipi bayi usia bulan dapat hilang	5	timbul	O	I-GEJALA	O	
132	garis kulit yang menghitam dan gatal	1	garis	O	B-GEJALA	B-GEJALA	
133	keluar flek coklat kemerahan sebelum masa haid	2	flek	B-GEJALA	I-GEJALA	B-GEJALA	
134	haid lebih dari minggu tapi sedikitsedikit apa penyebabnya	6	sedikitsedikit	O	B-GEJALA	B-GEJALA	
136	selalu berdahak tetapi tidak sedang batuk	1	selalu	B-GEJALA	O	O	
136	selalu berdahak tetapi tidak sedang batuk	2	berdahak	I-GEJALA	B-GEJALA	B-GEJALA	
140	sudah merasakan tandatanda hamil sebelum telat haid	3	tandatanda	B-GEJALA	O	O	
140	sudah merasakan tandatanda hamil sebelum telat haid	4	hamil	I-GEJALA	O	B-DIAGNOSIS	
141	penggunaan salep mata untuk bayi usia bulan	3	mata	I-OBAT	B-ANATOMI	I-OBAT	
142	cara menggunakan salep antijamur pada telinga	4	antijamur	O	I-OBAT	I-OBAT	
144	anak usia bulan mengeluarkan air mata saat berusaha mengelurakan suara	4	mengeluarkan	O	B-GEJALA	O	
144	anak usia bulan mengeluarkan air mata saat berusaha mengelurakan suara	5	air	B-GEJALA	I-GEJALA	B-GEJALA	
145	apakah obat dexketoprofen aman untuk ibu hamil yang sakit punggung	7	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
145	apakah obat dexketoprofen aman untuk ibu hamil yang sakit punggung	10	punggung	I-GEJALA	B-ANATOMI	B-ANATOMI	
146	dampak konsumsi obat penambah darah yang telah kadaluarsa saat hamil	10	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
148	napas pendek jantung berdebar dan pandangan gelap saat menstruasi	3	jantung	B-GEJALA	B-ANATOMI	B-ANATOMI	
148	napas pendek jantung berdebar dan pandangan gelap saat menstruasi	4	berdebar	I-GEJALA	B-GEJALA	B-GEJALA	
149	leher terasa gatal dan batuk setelah konsumsi snack	2	terasa	B-GEJALA	O	O	
149	leher terasa gatal dan batuk setelah konsumsi snack	3	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
154	telat menstruasi beberapa bulan apakah hamil	6	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
156	apakah wanita hamil boleh mengkonsumsi domperidone untuk melancarkan asi	3	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
157	keluar bercak darah dan sakit pinggang pada ibu menyusui apakah tandatanda menstruasi	2	bercak	B-GEJALA	I-GEJALA	B-GEJALA	
157	keluar bercak darah dan sakit pinggang pada ibu menyusui apakah tandatanda menstruasi	6	pinggang	I-GEJALA	B-ANATOMI	B-ANATOMI	
158	penyebab hidung gatal setelah minum manis	2	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
158	penyebab hidung gatal setelah minum manis	3	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
161	penyebab kram perut sebelah kiri saat haid	3	perut	I-GEJALA	B-ANATOMI	B-ANATOMI	
165	penyebab dan cara mengatasi telat haid bulan tapi tidak hamil	10	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
166	penyebab muncul bintik merah di wajah dan terasa gatal	2	muncul	B-GEJALA	O	O	
166	penyebab muncul bintik merah di wajah dan terasa gatal	3	bintik	I-GEJALA	B-GEJALA	B-GEJALA	
166	penyebab muncul bintik merah di wajah dan terasa gatal	8	terasa	B-GEJALA	O	O	
166	penyebab muncul bintik merah di wajah dan terasa gatal	9	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
167	terlambat menstruasi sulit bab sering bak dan panas dalam	8	panas	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
167	terlambat menstruasi sulit bab sering bak dan panas dalam	9	dalam	O	I-DIAGNOSIS	I-DIAGNOSIS	
170	apakah infeksi trikomoniasis dapat mempengaruhi telat haid	2	infeksi	O	B-DIAGNOSIS	B-DIAGNOSIS	
170	apakah infeksi trikomoniasis dapat mempengaruhi telat haid	3	trikomoniasis	B-DIAGNOSIS	I-DIAGNOSIS	I-DIAGNOSIS	
172	mengonsumsi suplemen saat menstruasi karena kelelahan dan kolesterol tinggi	8	kolesterol	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
172	mengonsumsi suplemen saat menstruasi karena kelelahan dan kolesterol tinggi	9	tinggi	I-GEJALA	I-DIAGNOSIS	I-DIAGNOSIS	
173	penyebab mata kanan berair	2	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
173	penyebab mata kanan berair	3	kanan	I-GEJALA	O	I-ANATOMI	
173	penyebab mata kanan berair	4	berair	I-GEJALA	B-GEJALA	B-GEJALA	
175	menstruasi tidak teratur setelah konsumsi pil kb	2	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
176	jangka waktu penggunaan obat tetes mata yang telah dibuka untuk mengatasi floaters	12	floaters	O	B-DIAGNOSIS	B-DIAGNOSIS	
177	penyebab jerawat yang tibatiba muncul di dahi saat mencoba produk perawatan wajah	12	wajah	I-OBAT	B-ANATOMI	I-OBAT	
180	telinga sakit dan berdengung terkadang terdengar bergemuruh	1	telinga	B-GEJALA	B-ANATOMI	B-ANATOMI	
180	telinga sakit dan berdengung terkadang terdengar bergemuruh	2	sakit	I-GEJALA	B-GEJALA	B-GEJALA	
180	telinga sakit dan berdengung terkadang terdengar bergemuruh	6	terdengar	B-GEJALA	O	O	
180	telinga sakit dan berdengung terkadang terdengar bergemuruh	7	bergemuruh	I-GEJALA	B-GEJALA	B-GEJALA	
181	bagaimana cara minum air alkali dengan obat diabetes	4	air	O	B-OBAT	B-OBAT	
181	bagaimana cara minum air alkali dengan obat diabetes	5	alkali	O	I-OBAT	I-OBAT	
183	nyeri berlebihan saat menstruasi dan ukuran uterus retrofleksi membesar	8	retrofleksi	O	B-DIAGNOSIS	B-DIAGNOSIS	
183	nyeri berlebihan saat menstruasi dan ukuran uterus retrofleksi membesar	9	membesar	O	I-DIAGNOSIS	I-DIAGNOSIS	
184	keluar darah berwarna merah gelap di malam hari apakah menstruasi	2	darah	B-GEJALA	I-GEJALA	B-GEJALA	
186	obat untuk mengatasi sinus preaurikuler lubang kecil di depan telinga	6	lubang	O	B-GEJALA	B-GEJALA	
186	obat untuk mengatasi sinus preaurikuler lubang kecil di depan telinga	7	kecil	O	I-GEJALA	I-GEJALA	
187	tidak haid ketika minum pil kb plasebo	7	plasebo	O	I-OBAT	I-OBAT	
191	perubahan siklus menstruasi setelah menggunakan kb	1	perubahan	O	B-GEJALA	B-GEJALA	
191	perubahan siklus menstruasi setelah menggunakan kb	2	siklus	B-GEJALA	I-GEJALA	I-GEJALA	
192	rekomendasi salep untuk mengatasi korengan bernanah di kaki	5	korengan	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
192	rekomendasi salep untuk mengatasi korengan bernanah di kaki	6	bernanah	I-GEJALA	B-GEJALA	B-GEJALA	
194	keluar flek setelah hubungan intim tanda kehamilan atau menstruasi	7	kehamilan	B-DIAGNOSIS	O	B-DIAGNOSIS	
198	penyebab dan penanganan pada pernapasan tersumbat	5	pernapasan	B-GEJALA	B-ANATOMI	B-ANATOMI	
198	penyebab dan penanganan pada pernapasan tersumbat	6	tersumbat	I-GEJALA	B-GEJALA	B-GEJALA	
199	penyebab haid tidak teratur pada usia tahun	3	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
203	apakah telat haid hari dan testpack positif sudah bisa dikatakan hamil	11	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
204	minum obat flu dan pereda nyeri bersamaan	5	pereda	O	B-OBAT	B-OBAT	
204	minum obat flu dan pereda nyeri bersamaan	6	nyeri	B-GEJALA	I-OBAT	I-OBAT	
207	penyebab napas mendadak sesak pandangan gelap tubuh gemetar seperti ingin pingsan setelah minum kopi dingin	2	napas	B-ANATOMI	B-GEJALA	B-GEJALA	
207	penyebab napas mendadak sesak pandangan gelap tubuh gemetar seperti ingin pingsan setelah minum kopi dingin	3	mendadak	O	I-GEJALA	I-GEJALA	
207	penyebab napas mendadak sesak pandangan gelap tubuh gemetar seperti ingin pingsan setelah minum kopi dingin	4	sesak	B-GEJALA	I-GEJALA	I-GEJALA	
207	penyebab napas mendadak sesak pandangan gelap tubuh gemetar seperti ingin pingsan setelah minum kopi dingin	10	ingin	B-GEJALA	O	O	
207	penyebab napas mendadak sesak pandangan gelap tubuh gemetar seperti ingin pingsan setelah minum kopi dingin	11	pingsan	I-GEJALA	B-GEJALA	B-GEJALA	
211	mata sulit dibuka terasa nyeri dan muncul kemerahan pada kelopak mata	1	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
211	mata sulit dibuka terasa nyeri dan muncul kemerahan pada kelopak mata	2	sulit	I-GEJALA	B-GEJALA	B-GEJALA	
215	penyebab bentolbentol merah yang terasa gatal dan hilang timbul di kulit	5	terasa	B-GEJALA	O	O	
215	penyebab bentolbentol merah yang terasa gatal dan hilang timbul di kulit	6	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
215	penyebab bentolbentol merah yang terasa gatal dan hilang timbul di kulit	8	hilang	O	B-GEJALA	O	
215	penyebab bentolbentol merah yang terasa gatal dan hilang timbul di kulit	9	timbul	O	I-GEJALA	O	
218	bentol dikulit tangan terasa gatal hingga luka	2	dikulit	O	B-ANATOMI	B-ANATOMI	
218	bentol dikulit tangan terasa gatal hingga luka	3	tangan	B-ANATOMI	I-ANATOMI	I-ANATOMI	
218	bentol dikulit tangan terasa gatal hingga luka	4	terasa	B-GEJALA	O	O	
218	bentol dikulit tangan terasa gatal hingga luka	5	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
219	haid sedikit dan siklus haid tidak teratur	6	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
222	penyebab tenggorokan sakit disertai mata bengkak pada anak usia tahun	2	tenggorokan	B-GEJALA	B-ANATOMI	B-ANATOMI	
222	penyebab tenggorokan sakit disertai mata bengkak pada anak usia tahun	3	sakit	I-GEJALA	B-GEJALA	B-GEJALA	
222	penyebab tenggorokan sakit disertai mata bengkak pada anak usia tahun	5	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
222	penyebab tenggorokan sakit disertai mata bengkak pada anak usia tahun	6	bengkak	I-GEJALA	B-GEJALA	B-GEJALA	
223	ruam merah dan gatal berkepanjangan	5	berkepanjangan	B-GEJALA	I-GEJALA	I-GEJALA	
224	menstruasi selama bulan tidak berhenti	2	selama	O	I-GEJALA	O	
224	menstruasi selama bulan tidak berhenti	3	bulan	O	I-GEJALA	O	
224	menstruasi selama bulan tidak berhenti	4	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
227	kulit di area mulut bayi tibatiba berwarna belang	7	berwarna	O	B-GEJALA	B-GEJALA	
227	kulit di area mulut bayi tibatiba berwarna belang	8	belang	B-GEJALA	I-GEJALA	I-GEJALA	
228	penyebab biduran terus menerus	2	biduran	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
229	pengobatan flek paru tidak tuntas sejak usia tahun	3	paru	I-DIAGNOSIS	B-ANATOMI	I-DIAGNOSIS	
230	penyebab siklus haid tidak teratur	4	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
231	apakah harus menghabiskan sisa obat jika sudah jarang mual dan muntah saat hamil	13	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
232	muncul kulit seperti sisik di sekitar luka bekas jerawat setelah menggunakan masker lidah buaya	1	muncul	B-GEJALA	O	O	
232	muncul kulit seperti sisik di sekitar luka bekas jerawat setelah menggunakan masker lidah buaya	2	kulit	I-GEJALA	B-ANATOMI	B-ANATOMI	
233	darah haid seperti jelly apakah normal	4	jelly	B-GEJALA	O	B-GEJALA	
234	keluar serabut menyerupai darah saat buang air kecil	6	buang	O	B-GEJALA	O	
234	keluar serabut menyerupai darah saat buang air kecil	7	air	O	I-GEJALA	O	
234	keluar serabut menyerupai darah saat buang air kecil	8	kecil	O	I-GEJALA	O	
236	telat haid tetapi gejala pms sudah dirasakan	4	gejala	B-GEJALA	O	O	
236	telat haid tetapi gejala pms sudah dirasakan	5	pms	I-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
237	hidung tersumbat disertai dengan pusing oyong panas dingin lemas dan mudah mengantuk	1	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
237	hidung tersumbat disertai dengan pusing oyong panas dingin lemas dan mudah mengantuk	2	tersumbat	I-GEJALA	B-GEJALA	B-GEJALA	
237	hidung tersumbat disertai dengan pusing oyong panas dingin lemas dan mudah mengantuk	6	oyong	B-GEJALA	I-GEJALA	I-GEJALA	
237	hidung tersumbat disertai dengan pusing oyong panas dingin lemas dan mudah mengantuk	8	dingin	O	I-GEJALA	I-GEJALA	
240	aturan konsumsi obat dengan benar pada ibu hamil	8	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
242	tenggorokan gatal setelah minum obat batuk sirup	7	sirup	B-DOSIS	O	B-DOSIS	
244	perbedaan obat aminofilin dan teofilin	3	aminofilin	B-OBAT	I-OBAT	I-OBAT	
245	hidung berdarah setelah minum obat yang mengandung paracetamol dan kafein	1	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
245	hidung berdarah setelah minum obat yang mengandung paracetamol dan kafein	2	berdarah	I-GEJALA	B-GEJALA	B-GEJALA	
248	mata bengkak setelah menggunakan softlens	1	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
248	mata bengkak setelah menggunakan softlens	2	bengkak	I-GEJALA	B-GEJALA	B-GEJALA	
248	mata bengkak setelah menggunakan softlens	5	softlens	B-OBAT	O	B-OBAT	
252	penyebab hanya keluar flek coklat namun haid tidak kunjung muncul	4	flek	B-GEJALA	I-GEJALA	B-GEJALA	
252	penyebab hanya keluar flek coklat namun haid tidak kunjung muncul	7	haid	O	B-GEJALA	B-GEJALA	
252	penyebab hanya keluar flek coklat namun haid tidak kunjung muncul	8	tidak	O	I-GEJALA	I-GEJALA	
252	penyebab hanya keluar flek coklat namun haid tidak kunjung muncul	9	kunjung	O	I-GEJALA	I-GEJALA	
252	penyebab hanya keluar flek coklat namun haid tidak kunjung muncul	10	muncul	O	I-GEJALA	I-GEJALA	
254	mengatasi gatal disertai bintik setelah penggunaan handbody	7	handbody	B-OBAT	O	B-OBAT	
256	obat untuk mengatasi wajah yang iritasi karena masker kopi	9	kopi	O	I-OBAT	I-OBAT	
257	cara yang efektif untuk mengatasi hidung tersumbat karena alergi debu	6	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
257	cara yang efektif untuk mengatasi hidung tersumbat karena alergi debu	7	tersumbat	I-GEJALA	B-GEJALA	B-GEJALA	
259	nyeri perut seperti akan haid dan hasil testpack positif	2	perut	I-GEJALA	B-ANATOMI	B-ANATOMI	
263	mata perih dan berair terus setelah menggunakan masker sulfur pada wajah	1	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
263	mata perih dan berair terus setelah menggunakan masker sulfur pada wajah	2	perih	I-GEJALA	B-GEJALA	B-GEJALA	
265	penggunaan obat kapsul dan krim salep secara bersamaan	3	kapsul	B-DOSIS	I-OBAT	B-DOSIS	
265	penggunaan obat kapsul dan krim salep secara bersamaan	6	salep	B-OBAT	I-OBAT	I-OBAT	
267	konsumsi obat sakit kepala tablet sekaligus	4	kepala	I-GEJALA	B-ANATOMI	B-ANATOMI	
268	hidung mudah pilek ketika terpapar debu walaupun sedikit	2	mudah	O	B-GEJALA	O	
268	hidung mudah pilek ketika terpapar debu walaupun sedikit	3	pilek	B-GEJALA	I-GEJALA	B-GEJALA	
268	hidung mudah pilek ketika terpapar debu walaupun sedikit	8	sedikit	B-GEJALA	O	O	
270	sakit perut lemas dan mual setelah bab saat haid	2	perut	I-GEJALA	B-ANATOMI	B-ANATOMI	
271	obat untuk mengatasi sakit gigi bengkak	5	gigi	I-GEJALA	B-ANATOMI	B-ANATOMI	
276	apakah darah haid hanya keluar hari merupakan tanda hamil	9	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
277	bisakah hamil tanpa haid selepas suntik kb bulan	2	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
277	bisakah hamil tanpa haid selepas suntik kb bulan	3	tanpa	O	B-GEJALA	O	
