id	focus_label	focus_tags	text
C06327	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	aturan konsumsi obat dengan benar pada penderita stroke
C06416	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	kenapa penderita skizofrenia saat konsumsi obat malah terlihat seperti linglung
C06470	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	muncul rasa panas dari dalam tubuh setelah minum obat pada penderita stroke
C06639	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	berkeringat banyak setelah konsumsi obat pada penderita diabetes tipe
C06772	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,PROSEDUR	bolehkan penderita psoriasis penyakit autoimun disuntik vaksin
C06794	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,DOSIS	aturan pakai obat tetes mata untuk penderita glaukoma
C06819	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	perawatan pada penderita efusi pleura
C07293	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	apakah riwayat konsumsi obat herbal secara berlebihan bisa membuat sulit memiliki keturunan
C07302	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat pegalpegal untuk penderita asma
C07314	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	aturan konsumsi obat vertigo pada penderita stroke
C07407	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	efek samping konsumsi obat penurun berat badan pada penderita hipertiroid
C07419	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat sakit gigi untuk penderita alergi obat
C07438	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	fungsi obat bisoprolol pada penderita hipertensi
C07440	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,DOSIS	dosis obat methylprednisolone yang aman untuk penderita diabetes
C07603	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	batuk tak kunjung hilang pada penderita tuberkulosis
C07617	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat pencahar untuk penderita fisura ani
C07799	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat untuk penderita gerd yang aman diminum setelah makan
C07827	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,WAKTU_DURASI	perlukah penderita rheumatoid arthritis konsumsi suplemen asam folat setiap hari
C07977	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat asam lambung pada penderita diabetes
C08152	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	efek samping jika penderita tb tidak teratur konsumsi obat
C08228	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	efek jangka panjang jika pernah konsumsi kontrasepsi darurat
C08290	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	mengonsumsi obat warung untuk penderita stroke yang mengeluh pusing
C08373	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	penggunaan obat untuk mengatasi disfungsi ereksi pada pria dengan riwayat tbc
C08457	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,PROSEDUR	minum obat doxycycline setelah suntik penicillin pada penderita sifilis
C08534	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	efek samping obat ketorolac pada penderita penyakit maag
C08645	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	mengonsumsi obat pengencer darah pada penderita stroke
C08715	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	penggunaan obat pantoprazole dan itopride untuk penderita parkinson
C09530	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	apakah bisa hamil jika belum pernah berhubungan badan
C10224	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	belum pernah mengalami haid pada remaja apakah karena pil kb
C10401	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	menstruasi sudah teratur pada penderita pcos apakah bisa dinyatakan sembuh
C10789	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,WAKTU_DURASI	nyeri haid dengan riwayat telat haid bulan
C11450	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,PROSEDUR	telat haid dan hasil testpack negatif dengan riwayat endometriosis
C12339	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,WAKTU_DURASI	telat haid bulan pada penderita pcos
C12538	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	menstruasi tidak teratur belum hamil dan memiliki riwayat kista
C12884	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,WAKTU_DURASI	telat haid di usia tahun pada penderita miom dan kemungkinan hamil
C00416	DOSIS	DOSIS	salep untuk mengatasi selangkangan gatal karena pembalut
C01243	DOSIS	DOSIS,WAKTU_DURASI	badan anak usia tahun memerah setelah konsumsi sirup cetirizine
C01590	DOSIS	DOSIS	apakah salep hydrocortisone dapat mengatasi kulit wajah merah dan gatal
C04435	DOSIS	DOSIS	salep untuk mengobati balanitis yang ada di apotik
C04441	DOSIS	DOSIS	rekomendasi salep kutil di tangan yang tak kunjung hilang
C04541	DOSIS	DOSIS	rekomendasi salep herpes kelamin yang ada di apotek
C04590	DOSIS	DOSIS	salep yang aman untuk mengatasi selangkangan gatal karena pembalut
C04594	DOSIS	DOSIS	salep penghilang bekas luka gatal yang menghitam
C04633	DOSIS	DOSIS	salep yang ampuh untuk mengatasi mata ikan di jari tangan
C04740	DOSIS	DOSIS	obat salep untuk mengatasi lecet selangkangan akibat gatal
C04752	DOSIS	DOSIS	obat tetes telinga yang bagus sakit cenutcenut di apotik
C04771	DOSIS	DOSIS	rekomendasi salep gatal berair yang ada di apotek
C04787	DOSIS	DOSIS	tata cara penggunaan salep mata bintitan dengan benar
C05193	DOSIS	DOSIS	efek samping penggunaan obat tetes mata jangka panjang
C05299	DOSIS	DOSIS,PROSEDUR	penggunaan obat tetes mata setelah operasi mata
C05310	DOSIS	DOSIS	penggunaan salep ketoconazole saat haid pada vagina
C05333	DOSIS	DOSIS	pengaruh perbedaan dosis obat
C05376	DOSIS	DOSIS	mengenai aturan pakai obat untuk kalazion pada mata
C05474	DOSIS	DOSIS	aturan minum obat sirup dan tablet sebelum makan
C05484	DOSIS	DOSIS	penggunaan salep lain saat sedang menggunakan salep untuk skabies
C05797	DOSIS	DOSIS	dosis konsumsi obat paru
C05887	DOSIS	DOSIS	kelebihan dosis obat
C05939	DOSIS	DOSIS	dosis konsumsi obatobatan covid
C06023	DOSIS	DOSIS	apakah boleh jenis obat tetes mata diberikan secara bersamaan
C06120	DOSIS	DOSIS	waktu penyimpanan obat sirup yang sudah dibuka
C06133	DOSIS	DOSIS	efek samping konsumsi obat herbal melebihi dosis
C06208	DOSIS	DOSIS	aturan minum obat sirup
C06230	DOSIS	DOSIS	efek terlalu banyak minum obat melebihi dosis
C06311	DOSIS	DOSIS	obat tetes mata yang tidak sengaja masuk kedalam telinga
C06844	DOSIS	DOSIS	dosis obat cacing untuk usia dewasa
C06952	DOSIS	RIWAYAT_PENYAKIT,DOSIS	dosis obat untuk penderita asma
C07050	DOSIS	DOSIS	dosis obat untuk mengatasi ambeien
C07170	DOSIS	DOSIS	dosis pemakaian obat untuk infeksi kulit yang bernanah
C07198	DOSIS	DOSIS	anjuran konsumsi obat mg
C07295	DOSIS	DOSIS	apakah obat kapsul yang menandung cetirizine boleh ditaburkan ke luka yang gatal basah dan berair
C07319	DOSIS	RIWAYAT_PENYAKIT,DOSIS	dosis obat ptu untuk penderita hipertiroid
C07654	DOSIS	DOSIS,WAKTU_DURASI	penggunaan salep untuk alergi kulit anak usia tahun
C07769	DOSIS	DOSIS	berapa dosis pemakaian doxycycline untuk pengobatan jerawat
C07791	DOSIS	DOSIS	keamanan penggunaan tablet hisap pelega tenggorokan saat hamil
C07890	DOSIS	DOSIS,PROSEDUR,WAKTU_DURASI	salep untuk mengatasi bekas operasi sendi lutut minggu yang lalu
C08098	DOSIS	DOSIS	dosis dan cara penggunaan obat tetes telinga
C08122	DOSIS	DOSIS	dosis mengonsumsi obat diabetes ketika kadar gula darah turun
C08356	DOSIS	DOSIS	dosis yang tepat ketika mengonsumsi obat flu
C08429	DOSIS	DOSIS	dosis obat untuk mengatasi diare anak
C08444	DOSIS	DOSIS	boleh salep acyclovir di gunakan untuk kelopak mata
C08589	DOSIS	DOSIS	mata merah saat pakai obat tetes mata untuk mengurangi tekanan bola mata
C08744	DOSIS	DOSIS	penggunaan salep skabies dengan salep dari resep dokter
C10004	DOSIS	DOSIS	penyebab menstruasi yang sehari keluar dan sehari tidak
C10624	DOSIS	DOSIS,PROSEDUR	siklus menstruasi terganggu setelah mendapat dosis vaksin covid
C11592	DOSIS	DOSIS	kemungkinan hamil saat haid hanya sehari
C00686	PROSEDUR	PROSEDUR	keamanan operasi caesar jika mengalami alergi setelah operasi caesar
C00690	PROSEDUR	PROSEDUR	muncul herpes dan alergi setelah vaksin covid pertama
C01076	PROSEDUR	PROSEDUR	ciriciri alergi benang pasca operasi caesar
C01246	PROSEDUR	PROSEDUR	bolehkah vaksin saat biang keringat dan bintikbintik merah pada perut bayi
C01247	PROSEDUR	PROSEDUR	pipi gatal dan bengkak setelah suntik vitamin c dan makan batagor
C01421	PROSEDUR	PROSEDUR	benjolan berisi air seperti luka bakar pada bekas luka operasi caesar
C02254	PROSEDUR	PROSEDUR	penyebab sering mimisan dan hasil rontgen sinusitis
C02295	PROSEDUR	PROSEDUR	muncul bercak merah gatal pada kaki pasca suntik whitening
C03983	PROSEDUR	PROSEDUR	bengkak pada paha kiri akibat imunisasi
C05231	PROSEDUR	PROSEDUR	apa rasanya suntik varises apakah terasa sakit
C05615	PROSEDUR	PROSEDUR	bolehkah melakukan vaksin covid saat konsumsi obat
C05698	PROSEDUR	DOSIS,PROSEDUR	boehkah minum obat kuat sehari setelah vaksin covid
C06025	PROSEDUR	PROSEDUR	apakah boleh minum obat asma saat sesak ringan setelah vaksinasi covid
C06064	PROSEDUR	PROSEDUR	keamanan konsumsi obat ambeien setelah vaksin covid
C06602	PROSEDUR	PROSEDUR	bolehkah konsumsi obat kalium diklofenak dan amoxicillin setelah operasi fam
C07487	PROSEDUR	PROSEDUR	apakah minum obat cina bisa mengurangi pembengkakan setelah operasi patah tulang
C07744	PROSEDUR	PROSEDUR	apakah nebulizer bisa menggunakan air hangat
C08964	PROSEDUR	PROSEDUR	bolehkah jika suntik kb saat sedang menstruasi
C09375	PROSEDUR	PROSEDUR	testpack positif tapi keluar haid apa penyebabnya
C09409	PROSEDUR	PROSEDUR,WAKTU_DURASI	siklus haid setelah lepas kb suntik bulan tidak normal
C09992	PROSEDUR	PROSEDUR	perubahan siklus menstruasi setelah mendapat vaksin covid
C10314	PROSEDUR	PROSEDUR,WAKTU_DURASI	terlambat haid minggu dengan hasil testpack negatif
C10342	PROSEDUR	PROSEDUR	telat haid hasil testpack positif dan nyeri payudara apakah hamil
C10366	PROSEDUR	PROSEDUR,WAKTU_DURASI	menghitung masa haid berikutnya setelah suntik kb bulan
C10392	PROSEDUR	PROSEDUR	penyebab telat haid disertai testpack negatif dan perut kram setelah konsumsi pil kb darurat
C10478	PROSEDUR	PROSEDUR	penyebab telat haid setelah vaksinasi covid
C10487	PROSEDUR	PROSEDUR	penyebab hasil testpack berubah dari garis menjadi negatif
C10647	PROSEDUR	PROSEDUR,WAKTU_DURASI	penyebab haid hanya hari disertai mual perut terasa bergerak di bagian bawah disertai hasil testpack negatif
C10659	PROSEDUR	PROSEDUR	jadwal menstruasi menjadi maju setelah vaksinasi covid
C10901	PROSEDUR	PROSEDUR	apakah setelah haid selesai harus suntik kb lagi
C10968	PROSEDUR	PROSEDUR	haid tidak teratur setelah mengganti kb suntik ke pil kb
C11229	PROSEDUR	PROSEDUR	keluar bercak darah dan hasil testpack positif
C11332	PROSEDUR	PROSEDUR	bahayakah operasi miom saat menstruasi
C11369	PROSEDUR	PROSEDUR	merasakan tanda kehamilan hasil testpack positif tetapi tidak telat haid
C11469	PROSEDUR	PROSEDUR,WAKTU_DURASI	apakah bisa haid setelah hari melahirkan dan pakai kb suntik bulan
C11738	PROSEDUR	PROSEDUR,WAKTU_DURASI	belum menstruasi bulan setelah operasi hamil anggur
C11752	PROSEDUR	PROSEDUR	menstruasi menjadi lebih cepat pasca operasi kista ovarium dan pengangkatan ovarium kiri
C11945	PROSEDUR	PROSEDUR	keluar banyak darah saat haid setelah operasi caesar
C12022	PROSEDUR	PROSEDUR,WAKTU_DURASI	siklus haid menjadi pendek setelah sering lupa kontrol kb suntik bulan
C12037	PROSEDUR	PROSEDUR	telat haid keluar flek darah mual sakit perut testpack negatif
C12041	PROSEDUR	PROSEDUR	perlukah kuretase saat vagina keluar darah gumpalan
C12162	PROSEDUR	PROSEDUR	hasil pemeriksaan testpack yang berubahubah dan telat haid
C12405	PROSEDUR	PROSEDUR,WAKTU_DURASI	penyebab darah nifas yang tibatiba keluar banyak minggu setelah caesar
C12431	PROSEDUR	PROSEDUR	keluar flek sebelum haid dan hasil testpack negatif
C12564	PROSEDUR	PROSEDUR	penyebab gangguan haid pasca kuretase
C12591	PROSEDUR	PROSEDUR	apakah suntik kb bisa menghentikan darah haid
C12706	PROSEDUR	PROSEDUR	mengenai jadwal untuk suntik kb ulangan
C12732	PROSEDUR	PROSEDUR	penyebab haid telat pasca penggunaan alat nebulizer
C12825	PROSEDUR	PROSEDUR,WAKTU_DURASI	menstruasi berkepanjangan pasca suntik kb bulan
C12890	PROSEDUR	PROSEDUR,WAKTU_DURASI	cara agar dapat kembali haid tanpa melepas kb suntik bulan
C01129	WAKTU_DURASI	WAKTU_DURASI	kulit gatal seperti biduran pada malam hari
C01368	WAKTU_DURASI	WAKTU_DURASI	mengatasi bekas gatal kehitaman pada bayi usia bulan
C01848	WAKTU_DURASI	WAKTU_DURASI	gatalgatal di area kaki dan kaki saat sore hari
C02106	WAKTU_DURASI	WAKTU_DURASI	mengatasi pilek hanya di malam hari pada bayi usia bulan
C02111	WAKTU_DURASI	WAKTU_DURASI	batuk kering pada bayi bulan
C02210	WAKTU_DURASI	WAKTU_DURASI	ruam merah berkepanjangan pada anak usia tahun
C02870	WAKTU_DURASI	WAKTU_DURASI	gatal didalam kulit yang terasa saat berkeringat makan makanan tertentu dan malam hari
C03490	WAKTU_DURASI	WAKTU_DURASI	penyebab kelopak mata bengkak pada anak tahun lebih
C03496	WAKTU_DURASI	WAKTU_DURASI	gatal dan bentol pada kulit sekitar minggu
C03656	WAKTU_DURASI	WAKTU_DURASI	bayi usia bulan menggaruk telinga dan timbul bintik merak pada bekas garukan
C03976	WAKTU_DURASI	WAKTU_DURASI	dahak berwarna putih pada anak usia tahun
C04109	WAKTU_DURASI	WAKTU_DURASI	badan terasa gatal saat pagi dan malam hari
C06063	WAKTU_DURASI	WAKTU_DURASI	kaitan konsumsi obat skabies terhadap telat haid selama bulan
C06263	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	penyebab perut sering terasa sakit disertai diare pasca operasi lambung bulan yang lalu
C07596	WAKTU_DURASI	DOSIS,WAKTU_DURASI	bahayakah jika anak usia tahun tidak sengaja minum obat tetes mata
C07615	WAKTU_DURASI	WAKTU_DURASI	penyebab menstruasi tidak teratur pada usia tahun
C07905	WAKTU_DURASI	WAKTU_DURASI	muncul benjolan di leher setelah minum obat tb selama bulan
C08075	WAKTU_DURASI	WAKTU_DURASI	penyebab badan gemetar setelah beberapa hari konsumsi obat batuk berdahak
C08308	WAKTU_DURASI	WAKTU_DURASI	konsumsi suplemen setiap hari
C08386	WAKTU_DURASI	WAKTU_DURASI	bolehkah mengonsumsi berbagai jenis obat saat sedang hamil minggu
C08516	WAKTU_DURASI	WAKTU_DURASI	efek samping bayi bulan minum obat sebelum diberi asi
C08881	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	cara melancarkan haid saat kb suntik bulan
C09023	WAKTU_DURASI	WAKTU_DURASI	cara menghentikan darah haid secara alami dalam hari
C09404	WAKTU_DURASI	WAKTU_DURASI	tidak menstruasi bulan apakah ada kemungkinan hamil
C09417	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	penyebab testpack negatif meski sudah telat haid selama hari
C09528	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	haid hari dan hasil testpack ternyata positif hamil
C10001	WAKTU_DURASI	WAKTU_DURASI	muncul flek coklat selama minggu lalu diikuti menstruasi
C10151	WAKTU_DURASI	WAKTU_DURASI	menstruasi selama minggu keluar darah banyak dan nyeri saat buang air kecil
C10231	WAKTU_DURASI	WAKTU_DURASI	penyebab darah haid keluar tidak sama banyak selama hari
C10289	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	penyebab telat haid minggu disertai testpack negatif dan kaitannya dengan sering begadang
C10348	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	siklus menstruasi tidak teratur setelah lepas suntik kb bulan
C10393	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	penyebab tidak haid selama beberapa bulan pasca suntik kb dan telah selesai nifas
C10461	WAKTU_DURASI	WAKTU_DURASI	menstruasi belum lancar pada remaja tahun
C10494	WAKTU_DURASI	WAKTU_DURASI	telat haid selama bulan dan keluar flek kecoklatam
C10891	WAKTU_DURASI	WAKTU_DURASI	keluar darah lagi setelah selesai haid hari yang lalu
C11212	WAKTU_DURASI	WAKTU_DURASI	penyebab tidak haid selama tahun namun tibatiba haid pada pengguna kb implant
C11493	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	telat menstruasi saat pakai kb suntik bulan
C11521	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	telat suntik kb bulan dan telat menstruasi apakah hamil
C11748	WAKTU_DURASI	WAKTU_DURASI	penyebab tidak haid selama bulan dan badan sering memar berwarna biru
C11863	WAKTU_DURASI	WAKTU_DURASI	haid lebih dari seminggu setelah sebelumnya tidak haid bulan
C12138	WAKTU_DURASI	WAKTU_DURASI	penyebab belum menstruasi setelah tahun melahirkan
C12217	WAKTU_DURASI	WAKTU_DURASI	tidak haid selama bulan disertai nyeri haid di usia tahun
C12267	WAKTU_DURASI	WAKTU_DURASI	telat haid bulan setelah berhubungan intim ejakulasi di luar
C12273	WAKTU_DURASI	WAKTU_DURASI	vagina keluar darah pasca bulan melahirkan normal
C12360	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	penyebab belum haid setelah suntik kb bulan
C12384	WAKTU_DURASI	WAKTU_DURASI	darah haid keluar setelah hubungan intim saat telat haid minggu
C12482	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	telat haid hari testpack negatif kram perut bab tidak lancar dan perut kembung
C12522	WAKTU_DURASI	WAKTU_DURASI	keakuratan tes kehamilan jika baru telat haid selama hari
C12775	WAKTU_DURASI	WAKTU_DURASI	tidak menstruasi selama bulan saat pakai pil kb dan menyusui
C12889	WAKTU_DURASI	PROSEDUR,WAKTU_DURASI	mengetahui masa subur jika belum haid pasca lepas suntik kb bulan
