id	focus_label	annotator_1_checked	annotator_2_checked	adjudicated	notes
C10659	PROSEDUR	no	no	no	
C10901	PROSEDUR	no	no	no	
C10968	PROSEDUR	no	no	no	
C11229	PROSEDUR	no	no	no	
C11332	PROSEDUR	no	no	no	
C11369	PROSEDUR	no	no	no	
C11469	PROSEDUR	no	no	no	
C11738	PROSEDUR	no	no	no	
C11752	PROSEDUR	no	no	no	
C11945	PROSEDUR	no	no	no	
C12022	PROSEDUR	no	no	no	
C12037	PROSEDUR	no	no	no	
C12041	PROSEDUR	no	no	no	
C12162	PROSEDUR	no	no	no	
C12405	PROSEDUR	no	no	no	
C12431	PROSEDUR	no	no	no	
C12564	PROSEDUR	no	no	no	
C12591	PROSEDUR	no	no	no	
C12706	PROSEDUR	no	no	no	
C12732	PROSEDUR	no	no	no	
C12825	PROSEDUR	no	no	no	
C12890	PROSEDUR	no	no	no	
C01129	WAKTU_DURASI	no	no	no	
C01368	WAKTU_DURASI	no	no	no	
C01848	WAKTU_DURASI	no	no	no	
C02106	WAKTU_DURASI	no	no	no	
C02111	WAKTU_DURASI	no	no	no	
C02210	WAKTU_DURASI	no	no	no	
C02870	WAKTU_DURASI	no	no	no	
C03490	WAKTU_DURASI	no	no	no	
C03496	WAKTU_DURASI	no	no	no	
C03656	WAKTU_DURASI	no	no	no	
C03976	WAKTU_DURASI	no	no	no	
C04109	WAKTU_DURASI	no	no	no	
C06063	WAKTU_DURASI	no	no	no	
C06263	WAKTU_DURASI	no	no	no	
C07596	WAKTU_DURASI	no	no	no	
C07615	WAKTU_DURASI	no	no	no	
C07905	WAKTU_DURASI	no	no	no	
C08075	WAKTU_DURASI	no	no	no	
C08308	WAKTU_DURASI	no	no	no	
C08386	WAKTU_DURASI	no	no	no	
C08516	WAKTU_DURASI	no	no	no	
C08881	WAKTU_DURASI	no	no	no	
C09023	WAKTU_DURASI	no	no	no	
C09404	WAKTU_DURASI	no	no	no	
C09417	WAKTU_DURASI	no	no	no	
C09528	WAKTU_DURASI	no	no	no	
C10001	WAKTU_DURASI	no	no	no	
C10151	WAKTU_DURASI	no	no	no	
C10231	WAKTU_DURASI	no	no	no	
C10289	WAKTU_DURASI	no	no	no	
C10348	WAKTU_DURASI	no	no	no	
C10393	WAKTU_DURASI	no	no	no	
C10461	WAKTU_DURASI	no	no	no	
C10494	WAKTU_DURASI	no	no	no	
C10891	WAKTU_DURASI	no	no	no	
C11212	WAKTU_DURASI	no	no	no	
C11493	WAKTU_DURASI	no	no	no	
C11521	WAKTU_DURASI	no	no	no	
C11748	WAKTU_DURASI	no	no	no	
C11863	WAKTU_DURASI	no	no	no	
C12138	WAKTU_DURASI	no	no	no	
C12217	WAKTU_DURASI	no	no	no	
C12267	WAKTU_DURASI	no	no	no	
C12273	WAKTU_DURASI	no	no	no	
C12360	WAKTU_DURASI	no	no	no	
C12384	WAKTU_DURASI	no	no	no	
C12482	WAKTU_DURASI	no	no	no	
C12522	WAKTU_DURASI	no	no	no	
C12775	WAKTU_DURASI	no	no	no	
C12889	WAKTU_DURASI	no	no	no	
